Pay_Info_Id,Minimum_Due,Balance,Due_Date,Rate,Payoff_Date;
1,15.00,NULL,NULL,8,NULL,NULL;
2,56.67,NULL,NULL,4,NULL,NULL;
3,1002.2,NULL,NULL,22,NULL,NULL;
4,100.00,NULL,NULL8,NULL,NULL;
5,50.0,NULL,NULL,8,NULL,NULL;
6,57.00,NULL,NULL,8,NULL,NULL;
7,125.00,NULL,NULL,25,NULL,NULL;
8,127.74,NULL,NULL,8,NULL,NULL;
9,100.00,NULL,NULL,8,NULL,NULL;
10,168.51,NULL,NULL,27,NULL,NULL;
11,50.00,NULL,NULL,15,NULL,NULL;
12,100.00,NULL,NULL,22,NULL,NULL;
13,100.00,NULL,NULL,8,NULL,NULL;
14,100.00,NULL,NULL,25,NULL,NULL;
15,0.00,NULL,NULL,23,NULL,NULL;
16,74.00,NULL,NULL,4,NULL,NULL;
17,122.40,NULL,NULL,24,NULL,NULL;
18,260.52,NULL,NULL,23,NULL,NULL;
19,65.94,NULL,NULL,1,NULL,NULL;
20,1349.08,NULL,NULL,7,NULL,NULL;
21,75.00,NULL,NULL,17,NULL,NULL;
22,75.00,NULL,NULL,26,NULL,NULL;
23,40.00,NULL,NULL,18,NULL,NULL;
24,51.00,NULL,NULL,10,NULL,NULL;
